Slovenian,English
pokoril,conquered
pokosili,mowed
pokrajina,landscape
pokrajinam,regions
pokrajinskega,provincial
pokrajinski,provincial
pokrajinskim,provincial
pokrije,covers
pokrijemo,we cover
pokrila,covers
pokrili,covered
pokritega,covered
pokriti,to cover
pokriva,covers
pokrival,headgear
pokrivali,headgear
pokrov,cover
pokrova,cover
pokroviteljem,patrons
poku,bang
pokurili,burned
pokusili,tried
pokusite,give it a try
pola,gender
polaga,lays
poldneva,noon
poldrugega,half past two
poldrugi,one and a half
poldrugim,to one and a half
poledice,ice cubes
polemik,controversy
polemike,controversy
polena,log
polepšali,beautified
polet,flight
polete,summer
poletela,flew
poletih,in summers
poletju,in the summer
poletna,summer
poletnimi,summer ones
poletno,summer
polfinala,semi-finals
polfinalistu,semi-finalist
polfinalnem,semi-final
polfinalni,semi-final
polfinalno,semi-final
polibutilen,polybutylene
polic,shelves
police,shelves
policij,the police
policijeorgana,police authorities
policijskem,police
policijskemu,to the police
policijskim,the police
policistka,a policewoman
policistom,policemen
policistu,to a police officer
polietilen,polyethylene
polifenolnih,polyphenols
poliklinika,polyclinic
polimernimi,polymeric ones
politikami,policies
politikom,politicians
poljanah,fields
poljska,Poland
poljske,Polish
poljskem,Poland
poljubi,kisses
poljubil,kissed
poljubljanja,kissing
poljščinah,Polish
polka,regiment
polke,regiments
polletnim,half-year-olds
polnemu,full
polnjenje,charging
polnoletne,of legal age
polnoletno,adult
polnovredni,full-fledged
polnoč,midnight
polnočjo,midnight
poloble,hemispheres
polom,accident
polomija,polomia
polomljenem,broken
polomu,breakdown
polotoka,peninsula
polovic,halves
polovili,caught
polovičko,half
polovični,half-hearted
polovičnim,half-hearted
polovično,half-heartedly
položajev,positions
položi,lay down
položil,laid down
položim,I put
polpriložnosti,semi-occasions
polsestro,step sister
polstoletnega,half a century old
polt,complexion
polti,complexion
poltovarniško,semi-factory
poltovornjakom,semi-trucks
poltretjem,a third and a half
poltretji,the third and a half
polzijo,they crawl
polčasih,halftime
polčasom,at half time
polži,snails
pom,assistant
pomagajte,please help
pomagam,I help
pomaknilo,shifted
pomaknjena,shifted
pomanjkanjem,lack
pomanjkanju,lack
pomanjkljivo,deficient
pomanjkljivost,deficiency
pome,means
pomembnejša,more important
pomembnim,important
pomembnost,importance
pomembnosti,importance
pomenil,meant
pomenili,meant
pomerile,measured
pomešal,mixed up
pomikal,scrolled
pomikalo,scroll wheel
pomikati,scroll
pomilostitev,pardon
pomiril,reassured
pomirili,reassured
pomiritev,appeasement
pomiriti,to calm down
pomirja,soothes
pomirjevala,sedatives
pomislek,concern
pomislekov,concerns
pomislil,thought
pomislimo,let's think
pomiti,wash it off
pomladanski,spring
pomladitev,rejuvenation
pomladiti,rejuvenate
pomladitvijo,rejuvenation
pomladne,spring
pomladnega,spring
pomni,remember
pomnik,monument
pomokanih,floured
pomolu,pier
pomore,it kills
pomorska,maritime
pomorskih,maritime
pomoènik,assistant
pomočiZavod,Help Center
pomožnega,auxiliary
pomožni,auxiliary
pomurski,Pomurski
ponagajalo,fiddled with
ponarejanjem,forgery
ponarejeno,fake
ponastavili,reset
ponavljajočem,repetitive
ponavljam,I repeat
ponazoril,illustrated
ponedeljkih,on Mondays
ponedeljkov,Mondays
ponedeljkovega,Monday's
ponedeljkovemu,Monday's
ponedeljkovi,Monday's
ponedeljkovo,Monday's
ponehala,stopped
ponehale,stopped
ponemèil,German
ponesrečenca,the casualty
ponesrečenega,the accident victim
ponesreči,have an accident
ponesrečil,crashed
ponižujoči,humiliating
ponjo,her
ponotranjili,internalized
ponovi,repeat
ponovilo,repeated
ponovitev,repetition
ponovitvene,repetitive
ponovne,again
ponovni,again
pontifikata,of the pontificate
ponudilo,offered
ponudimo,we offer
ponudnikom,providers
ponujanja,offering
ponujena,offered
ponvi,pan
ponzijevo,ponzi
pooblastilih,powers
pooblašèen,authorized
pooblašèeno,authorized
pooblašča,authorizes
pooblaščene,authorized
pooblaščenem,authorized
pooblaščenke,authorized representatives
pooseblja,embodies
poosebljena,personified
poostrenega,tightened
poostril,tightened up
poostrili,tightened up
popackan,messed up
popariti,to scald
popeljalo,led
popeljejo,they take
popestrene,diversified
popili,drank
popis,inventory
popisala,listed
popivanju,drinking
popjem,I sing
poplavile,flooded
poplavilo,flooded
poplavljalo,flooded
poplavljene,flooded
poplavljenih,flooded
poplačana,paid off
poplačani,paid off
popoldansko,in the afternoon
popoldneve,in the afternoon
popolnega,perfect
popolnjena,completed
popolnost,perfection
popolnosti,perfection
popotnica,traveler
popotnike,travelers
popotovanju,traveling
popotresnih,after the earthquake
popravila,repairs
popravili,repaired
popravilo,repair
popravilu,repair
popravim,I'll fix it
popravkih,corrections
popravlja,fixes
popravljalnici,repair shops
popravljenega,corrected
popravljeno,corrected
popravna,corrective
poprom,pepper
populacija,population
popularne,popular
popularnost,popularity
populista,a populist
populizma,of populism
popustila,gave way
popustiti,give way
popustom,discount
por,Lt
porabili,spent
porabite,spend
porabljenih,spent
porabo,consumption
poraja,giving birth
porajajo,they give birth
porasta,increases
porastom,increase
poravnal,settled
poravnala,settled
poravnali,settled
porazdeljene,distributed
poraze,defeats
porazno,defeating
porazov,defeats
poračunu,settlement
porašèen,hairy
poraščen,hairy
poraženca,loser
poraženci,losers
poražencih,losers
poraženem,defeated
poraženi,defeated
poraženo,defeated
pordele,flushed
pore,pores
poredko,orderly
poreklo,origin
porezal,cut
porihtali,purred
porinili,pushed
pornografijo,pornography
porod,birth
porodnišnicah,maternity hospitals
porodnišnico,maternity ward
poroki,weddings
porote,the jury
poroèajo,they report
poroèila,reports
poroèilu,the report
poročanja,reporting
poročeno,married
poročevalcem,reporters
poroči,get married
poročili,reports
poročna,wedding
poroštev,guarantor
poroštvo,guarantee
poroštvom,sureties
portali,portals
portretih,portraits
portretne,portrait
portretnih,portraits
portugalske,Portuguese
porumeni,turn yellow
porušena,demolished
porušenem,demolished
porušila,demolished
posadili,planted
posadko,the crew
posamezen,individual
posamezna,individual
posameznega,individual
posameznike,individuals
posamiène,individual
posamiènih,individual
posamični,individual
posamičnih,individual
posebn,special
posebnem,special
posebnost,specialty
posebost,particularity
posedajo,they sit
posedali,sat down
posedel,sat down
posedujeta,they own
posegali,intervened
posegamo,we intervene
posegel,intervened
posegli,intervened
posegov,interventions
posejane,sown
posekali,cut down
poseku,cutting
posest,property
posilil,raped
posiljevalcu,to the rapist
posiljevali,raped
posiljevanju,rape
posilstva,rape
posinovljenec,adopted child
poskrbelo,took care of
poskrbimo,let's take care
poskusi,give it a try
poskusni,experimental
poskusno,tentatively
poskusom,by trying
poskušamo,we try
poskušati,to try
poslabšanimi,deteriorated
poslabšanju,deterioration
poslabšuje,worsens
poslalo,sent
poslanecpredsednik,deputy president
poslani,sent
poslanke,MPs
poslanskim,deputies
poslanskimi,deputies
poslansko,parliamentary
poslanstva,missions
poslanstvom,missions
poslanstvu,mission
poslančevem,MP's
poslednja,the last one
poslej,afterwards
poslih,deal
poslika,painting
poslom,business
poslovale,did business
poslovali,did business
poslovalnic,branches
poslovalnice,branches
poslovanja,business
poslovi,goodbye
poslovili,said goodbye
poslovilnem,farewell
poslovilnim,farewell
poslovita,goodbye
posloviš,you say goodbye
poslovna,business
poslovneža,businessman
poslovneži,businessmen
poslovnik,rules of procedure
poslovnika,rules of procedure
poslovnimi,business
poslovnoproizvodni,business production
posluh,hearing
posluje,does business
poslušal,listened
poslušala,listened
poslušanega,listened to
poslušanju,listening
posluževal,served
poslužila,served
posmeh,a mockery
posmehujejo,they mock
posmrtnina,death benefit
posmrtno,posthumously
posnela,recorded
posnele,recorded
posnelo,recorded
posnema,imitates
posneti,record
posnetkom,recording
posneto,recorded
posodabljati,update
posode,containers
posodi,loan
posodice,containers
posodobili,updated
posodobitve,updates
posodobljeni,updated
posoja,loan
posojen,borrowed
posojili,loans
posojilni,loan
posojilom,loan
pospešek,acceleration
pospešenega,accelerated
pospešenim,accelerated
pospešila,accelerated
pospešile,accelerated
pospešili,accelerated
pospešitev,acceleration
pospešiti,speed up
pospeškov,accelerations
pospešujejo,accelerate
posplošenimi,generalized
posploševanje,generalization
pospravi,tidy up
pospravijo,clean up
pospravili,cleaned up
pospravimo,let's clean up
pospraviti,clean up
pospravljanje,tidying up
pospravljava,we are cleaning up
pospremijo,accompany
pospremljeno,escorted
posredni,indirect
posredniku,to the intermediary
posredovale,intervened
posredovalo,intervened
posredovan,forwarded
posredovanja,interventions
posrečeno,lucky
postajajo,are becoming
postajališè,stop
postajališèa,stop
postajališč,stops
postajališča,stops
postajališčema,stops
postajo,station
postanek,a stop
postanku,stop
postavile,set up
postavke,items
postavljaju,they set
postavljanja,of placement
postavljati,to set
postavljenega,placed
postavljenih,placed
postavljeno,placed
posteklenimo,let's glass
postelja,bed
posteljah,beds
posteljami,beds
posteljice,beds
postenja,fasting
postepidemiološko,post-epidemiological
postne,fasting
postnem,I am fasting
postni,fasting
postojank,outposts
postojanki,outposts
postojnskem,post office
postopala,proceeded
postopali,acted
postopen,gradual
postopkom,procedure
postopni,gradual
postopnim,gradual
postopnosti,gradualism
postori,do
postoriti,to do
postregle,served
postrezite,serve
postreèi,serve
postrežemo,we serve
postrv,trout
postrvi,trout
posul,business
posumi,suspicions
posuši,dry
posušili,dried
posvet,consultation
posveta,consultation
posvete,consultations
posvetite,consecrate
posvetiti,dedicate
posvetlila,brightened up
posvetno,worldly
posvetov,consultations
posvetovali,consulted
posvetovalnim,consultative
posvetovanjih,consultations
posvetovati,consult
posvetujejo,consult
posveèen,consecrated
posveèena,consecrated
posveèenju,consecration
posveèeno,consecrated
posvečajo,dedicate
posvečal,consecrated
posvečati,consecrate
posvečena,consecrated
posvečenje,consecration
posvojenka,adopted daughter
posvojili,adopted
posvojitev,adoption
posvojiti,to adopt
potapljaške,diving
potegnemo,we pull
potegnil,pulled
potegnila,pulled
potegnilo,pulled
potegniti,to pull
potegovala,competed
potegovali,competed
poteguje,competes
potegujte,compete
potekom,over time
potenciala,potential
potencialih,potentials
potencialne,potential
potencialnima,potential
poteptati,to trample
poteza,move
potezah,moves
potezi,moves
potica,trail
potice,potice
potimo,we sweat
potiskanih,printed
potisnila,pushed
potisnili,pushed
potjo,the way
potlačili,suppressed
potnega,sweaty
potnika,passenger
potniško,passenger
potok,stream
potokih,streams
potokom,streams
potoku,stream
potomstva,offspring
potonila,sank
potopita,sink
potovala,traveled
potovale,traveled
potovalne,travel
potovanj,of travel
potovanju,the journey
potovati,to travel
potoži,complain
potožila,complained
potratno,wasteful
potrdile,certificates
potrdim,I confirm
potrditvi,confirmation
potrebnim,necessary
potrebujeta,they need
potrebšèine,necessities
potrebščine,necessities
potresite,sprinkle
potresu,an earthquake
potrgalo,tore
potrjen,confirmed
potrjenim,confirmed
potrjujejo,confirm
potrkali,knocked
potrošnici,consumers
potrošnika,the consumer
potrošniška,consumer
potrpežljiv,patient
potrpljenja,patience
potrtostjo,depression
potrudil,made an effort
potrudile,made an effort
potujete,you travel
potujoèi,traveling
potujoči,traveling
poudarek,emphasis
poudarile,emphasized
poudarimo,let's emphasize
poudarjala,emphasized
poudarjeno,emphasized
poudarkom,emphasis
poukom,lessons
poustvarjalni,recreative
pouèevanje,teaching
poučeval,taught
poučevanja,teaching
povabi,invite
povabili,invite
povabljencev,invitees
povabljenih,invited
povabljenimi,those invited
povedel,led
povejo,they say
poveličuje,glorifies
povelje,commands
poveljstvo,command
poveljuje,commands
povemo,let's say
povesta,the story
povezalo,connector
povezanim,connected
povezanimi,connected
povezanost,connection
povezava,connection
povezljiva,connectable
povezovali,connected
povezujemo,we connect
poveèala,increased
poveèanega,increased
poveèanju,increase
povečan,increased
povečana,increased
povečane,increased
povečanega,increased
povečanjem,increase
povečerja,in the evening
povečevali,increased
povečevati,to increase
povečini,mostly
povešen,sagging
poveže,connects
povila,diapers
povišal,raised
povišala,raised
povišali,raised
povišanega,elevated
povišati,raise
povišico,a raise
povlekel,dragged
povlekli,dragged
povleklo,dragged
povojih,swaddling clothes
povojne,post-war
povolilno,post-election
povorka,procession
povorke,processions
povozila,ran over
povprašali,asked
povpraševali,asked
povpraševanja,of demand
povpraševanju,demand
povpreèna,average
povpreèno,average
povprečne,average
povprečnega,average
povprečnin,average fee
povprečnini,average fees
povratne,returnable
povratni,reversible
povratnik,returnee
povratnika,returnee
povratniški,returnable
povratno,return
povračilo,reimbursement
povrhu,on top of it
povrnil,returned
povrnila,returned
povrnili,reimbursed
povrnjen,refunded
površina,surface
površini,surface
površje,surface
površno,superficially
povzel,in summary
povzela,summed up
povzelo,in summary
povzemajo,summarize
povzetku,summary
povzoročil,sampled
povzpela,climbed up
povzpnemo,let's go up
povzroèa,causes
povzroèal,caused
povzroèanja,causation
povzroč,cause
povzročal,caused
povzročam,I cause
povzročate,you cause
povzročene,caused
povzročeno,caused
povzročijo,cause
povzročili,caused
povzročimo,we cause
povzročitelja,the causative agent
povzročiteljih,causative agents
povzročitve,causes
pozabavat,to forget
pozabi,forget it
pozabilo,oblivion
pozabim,I forget
pozabljamo,we forget
pozabljeni,forgotten
pozabljenimi,the forgotten ones
pozabljeno,forgotten
pozabo,forget
pozanimala,inquired
pozavna,trombone
pozdravi,greetings
pozdravijo,greet
pozdravila,greeted
pozdravile,greeted
pozdravit,to greet
pozdravita,say hello
pozdraviti,to greet
pozdravlja,greets
pozdravljeni,hello
pozdravu,greetings
poze,poses
pozicije,positions
pozicionirani,positioned
pozimi,in winter
pozira,posing
poziranjem,posing
pozitivitet,positivity
pozival,urged
pozivala,urged
pozivoma,prompts
poznala,knew
poznana,familiar
poznane,acquaintances
poznanih,acquaintances
poznati,to know
poznavalci,connoisseurs
poznejšim,later ones
poznih,late
poznim,I'm late
pozor,attention
pozoren,attentive
pozorneje,more carefully
pozorno,carefully
pozvan,prompted
pozvonijo,they ring the bell
poèakamo,we wait
poèasnega,the slow one
poèela,started
poèitnic,holidays
poèitnicami,holidays
poèitniških,vacation
poèuti,to feel
poèutile,felt
poèutim,I feel
poèutje,feeling
počakajo,they wait
počakajte,please wait
počakali,waited
počakamo,let's wait
počasnega,slow
počasno,slowly
počela,started
počeli,did
počene,cracked
počeno,done
počep,squat
početjem,by doing
počilo,burst
počistili,cleaned up
počitka,rest
počitku,rest
počitnicami,holidays
počitniške,holidays
počitniških,holidays
počitniško,vacation
počivališče,resting place
počnejo,they do
počnemo,we do
počneta,they do
počnete,you are doing
počni,do it
počutimo,we feel
počutimo,we feel
počutja,feelings
počutju,feeling
pošalil,joked
pošalim,I'm kidding
pošast,monster
pošiljajte,send
pošiljal,sent
pošiljali,sent
pošiljanje,shipping
pošiljk,shipments
pošiljki,shipments
pošiljko,shipment
poškodba,injury
poškodovala,damaged
poškodovali,damaged
poškodovane,damaged
poškodovanem,injured
poškodovani,injured
poškodovanja,injuries
poškodovanje,damage
poškodovano,damaged
poškoduje,damages
poškodujejo,damage
poškoduješ,you hurt
pošle,sent
pošljejo,they send
pošt,mail
pošta,mail
pošten,honest
poštena,honest
poštenega,honest
poštenost,honesty
poštev,account
poštni,postal
požari,fires
požarne,fire
požarni,fire
požel,harvest
požela,reaped
poželenja,desires
poželi,lust after
poženemo,we start
požeškoslavonska,Požegaslavonska
požgali,burned
požig,arson
požiga,arson
požiralniki,esophagus
požiralniku,esophagus
požirka,a sip
požrtvovalnim,sacrificial
požvižgavajo,they whistle
pr,BC
praga,threshold
pragmatično,pragmatically
pragom,threshold
pragu,threshold
praksah,practices
praktiki,practitioners
praktična,practical
praktične,practical
praktičnem,practical
pralne,washable
pralnem,washing
pranja,washing
pranje,washing
praplemena,progenitors
praporščaka,ensign
praproti,ferns
prav,right
pravcati,to justify
pravdnega,litigious
pravic,rights
pravicam,rights
pravilih,of the rules
pravilne,correct
pravilnemu,the correct one
pravilnika,of the rules
pravilnim,correct
pravilnost,correctness
pravilu,rule
pravim,I say
pravičnejše,fairer
pravičnejši,fairer
pravičnemu,to the righteous
pravični,righteous
pravičnost,justice
praviš,you say
pravljièno,fabulous
pravljične,fairytale
pravljičnega,fairytale
pravljičnem,fairytale
pravnem,legal
pravniki,lawyers
pravnomočna,legally binding
pravnomočnih,legally binding
pravoslavna,Orthodox
pravosodja,of justice
pravosodna,judicial
pravosodne,judicial
pravosodnega,judicial
pravosodnih,judicial
prazgodovine,prehistory
prazgodovinske,prehistoric
praznem,empty
praznika,holiday
praznim,I'm emptying
praznine,voids
praznino,emptiness
prazničnih,holidays
praznično,festive
praznovale,celebrated
praznovanja,celebrations
prašičereji,pig farmers
prašičih,pigs
prašičjereje,pig farming
prašičjim,pigs
prašnate,dusty
pražival,roasted
prebuditev,awakening
prebarvanih,repainted
prebavil,gastrointestinal tract
prebere,read it
preberite,read it
prebežnikov,defectors
prebija,breaks through
prebijati,to break through
prebije,breaks through
prebil,broke through
prebiranju,reading
prebiti,break through
prebiva,resides
prebivalcih,residents
prebivalec,resident
prebivali,resided
prebivališč,residences
prebivališčem,residence
prebivalstvu,population
prebivanje,residence
preboj,breakthrough
preboja,breakthrough
prebolela,got over it
prebrala,read it
prebrane,read
prebrodil,got through
prebrskal,browsed
prebudili,awakened
prebujena,awakened
prebujenju,awakening
precejšnjih,considerable
predaj,surrender
predaja,surrender
predaji,surrender
predal,drawer
predalo,drawer
predalov,drawers
predamo,we hand over
predan,committed
predana,committed
predanega,dedicated
predanost,devotion
predaval,lectures
predavala,gave a lecture
predavalnici,lecture halls
predavanje,lecture
predavatelji,lecturers
predbožični,pre-Christmas
predel,compartment
predelal,processed
predelanem,processed
predelavo,processing
predelovalnih,processing
predeluje,processes
predhodne,previous ones
predhodnega,the previous one
predhodnem,the previous one
predhodnih,previous ones
predihajo,they take a breather
predihovalnikov,ventilators
predimenzionirano,oversized
predindustrijski,pre-industrial
prediva,yarn
predizboru,preselection
predkarantenskem,pre-quarantine
predkazenskem,pre-trial
predkazenski,pretrial
predkazenskih,pretrial
predkupnega,pre-purchase
predlagajo,they suggest
predlagan,proposed
predlaganem,proposed
predlaganemu,to the proposed one
predlaganih,proposed
predlaganimi,proposed
predlaganja,proposals
predlagateljev,of the proposers
predlagati,to propose
predlani,the year before
predlanskim,last year's
predlogi,suggestions
predložijo,submit
predmestju,the suburbs
predmeta,of the object
predmeti,objects
predmetih,objects
predmetom,object
prednikov,ancestors
prednja,front
prednjačili,took the lead
prednjo,front
prednostih,advantages
prednostna,preferred
prednostnega,of priority
prednostnih,of priority
prednostno,preferably
prednovoletnem,New Year's eve
predobravnavne,preliminary hearings
predolge,too long
predolgega,too long
predolgem,too long
predor,tunnel
predpis,regulation
predpisa,regulation
predpisala,prescribed
predpisan,prescribed
predpisana,prescribed
predpisi,regulations
predpisih,regulations
predpogoj,prerequisite
predpostavk,assumptions
predpostavka,assumption
predpostavki,assumptions
predpretekli,pre-past
predpristopne,pre-accession
predprodaje,pre-sales
predprodaji,pre-sale
predrag,too expensive
predrakavih,precancerous
predramil,shoulder blade
predročenje,delivery
predrzna,cheeky
predrznež,impudence
predse,first of all
predsednici,the president
predsednikoma,presidents
predsednikove,the president's
predsednikovega,the president's
predsednikovem,the president's
predsedniško,presidential
predsedovala,presided
predsedovanjem,presidency
predsedstva,presidency
predsedujoča,presiding
predsedujoči,presiding
predskakalcev,pre-jumpers
predsobi,anteroom
predsodek,prejudice
predsodki,prejudices
predstavah,performances
predstavi,present
predstavim,I present
predstavit,present
predstaviti,to present
predstavitvami,presentations
predstavitvijo,presentation
predstavljala,represented
predstavljata,represent
predstavljena,presented
predstavljene,presented
predstavljenih,presented
predstavljeno,presented
predstavnici,representatives
predstavnikom,representatives
predstavniku,representative
predstavniškega,representative
predstojnica,the superior
predstojnico,head office
predstojniki,superiors
predujma,advances
predvaja,plays
predvajan,played
predvajanje,playback
predvečer,eve
predvidena,foreseen
predvidenega,foreseen
predvidenem,intended
predvideti,to foresee
predvidevali,anticipated
predvidevam,I assume
predvidljiva,predictable
predvidljivo,predictable
predvolilni,pre-election
predzakonska,premarital
predčasnimi,premature
predšolanje,preschool
preformanse,performances
prefrigank,a naughty girl
preganjala,persecuted
preganjanja,persecution
preganjanje,persecution
pregibnim,inflexible
preglavic,headaches
pregledanih,examined
pregledati,review
pregledi,inspections
preglednih,transparent
preglednosti,transparency
pregledov,inspections
pregledovanje,screening
pregledovanjem,screening
pregloboka,too deep
pregloboko,too deep
pregnati,chase away
pregon,prosecution
pregonov,prosecutions
pregoreva,burns out
pregovarjanja,negotiations
pregovor,proverb
pregovorno,proverbially
pregradah,partitions
pregradnimi,partitions
pregrevajo,they overheat
prehajajo,they pass
prehajal,was passing
prehajamo,we are passing
prehitel,overtook
prehitele,rushed
prehitelo,rushed
prehiteti,to overtake
prehiteva,overtaking
prehiteval,was overtaking
prehitevalnem,overtaking
prehitevanjem,overtaking
prehitevanju,overtaking
prehitra,too fast
prehitre,too fast
prehitro,too fast
prehlade,colds
prehladno,too cold
prehladov,colds
prehode,transitions
prehodil,passed through
prehodim,I pass
prehodnega,transitory
prehrambene,food
prehrambne,food
prehrana,nutrition
prehrani,nutrition
prehranjevalne,nutritional
prehranskega,nutritional
prehranski,nutritional
prehranskih,nutritional
prehude,too severe
preidejo,they pass
preigravanj,replays
preigravanju,overplaying
preigravati,overplay
preimenovali,renamed
preiskava,investigation
preiskavah,investigations
preiskovala,investigated
preiskovalce,investigators
preiskovalni,investigative
preiskovalno,investigative
preiskovati,to investigate
preiti,to pass
preizkusi,try it out
preizkušajo,they are testing
preizkušamo,we are testing
preizkušenj,tests
prej,earlier
prejema,is receiving
prejemkov,receipts
prejemnika,recipient
prejemnikih,recipients
prejemnikom,recipients
prejeta,received
prejetega,received
prejetih,received
prejetim,received
prejmete,you receive
prejmite,receive
prejšnjem,the previous one
prejšnjemu,to the previous one
prejšnjo,the previous one
prekaljenega,hardened
prekine,interrupts
prekinejo,they interrupt
prekiniti,to interrupt
prekinitvijo,interruption
prekinjeni,interrupted
prekipevati,to boil
preklapljanje,switching
prekletim,damn it
prekletstvo,curse
preklicala,cancelled
preklicana,cancelled
preklicem,I cancel
preklicu,cancellation
preklicuje,cancels
preklicujejo,are canceling
prekmurske,Prekmurska
prekmurski,Prekmurski
prekmursko,Prekmursko
prekolesarili,cycled over
prekolesarite,cycle over
prekolesariti,to cycle over
prekomorskih,overseas
prekopava,digging
prekopavati,dig through
prekopljete,bridge over
prekoraèitvijo,exceeding
prekoračitvami,overruns
prekoračitve,overdrafts
prekril,covered
prekriti,to cover
prekriva,covers
prekrivajo,overlap
prekrižala,crossed out
prekrmarila,overbooked
prekrši,violate
prekrškom,offenses
prekrškovnega,misdemeanor
prekuženega,infected
prekuženost,infection
prekužila,disinfected
prelahka,too easy
prelaz,pass
prelaze,passes
prelepil,pasted over
prelepljen,pasted over
preletavala,flew over
prelevil,iridescent
preležal,lay down
prelijemo,pour over
prelivanje,overflow
prelomnem,breaking point
prelomnica,a turning point
prelomnih,groundbreaking
prelomno,groundbreaking
preložena,postponed
preložene,postponed
preloži,postpone
preložile,postponed
preložitve,postponements
preluknjan,pierced
premagovali,overcome
premagovanja,overcoming
premagovanje,overcoming
premajhen,too small
premaknete,you move
premakneš,you move
premaknil,moved
premaknili,moved
premakniti,to move
premastna,too fat
premestil,transferred
premestitvijo,relocation
premešane,mixed
premešano,mixed up
premešati,stir
premeščali,transferred
premeščen,transferred
premeščena,transferred
premeščeni,transferred
premierjem,to the prime minister
premierju,to the prime minister
premierom,to the prime minister
premierov,of prime ministers
premij,premium
premijski,premium
premik,movement
premika,moves
premikajo,they move
premikanjem,by moving
premikati,to move
premikov,movements
preminula,passed away
preminulemu,to the deceased
preminulih,deceased
premislek,consideration
premisleke,considerations
premislil,thought about it
premislila,reconsidered
premislili,reconsidered
premišljen,thoughtful
premnogi,too many
premogovnih,of coal
premogovnik,coal mine
premogovnika,coal mine
premora,pause
premorejo,they possess
premoremo,we have a break
premostil,bridged
premostitev,bridging
premoč,superiority
premoči,superiority
premočna,too strong
premočnem,too strong
premočrtnost,linearity
premoženjska,property
premoženjske,property
premoženjski,property
premoženjsko,property
prenaporna,too busy
prenatrpanim,overcrowded
prenavljanje,renovation
prenašalca,carrier
prenašalci,carriers
prenašale,transmitted
prenašanja,transmission
prenehale,ceased
prenehalo,ceased
prenehati,to stop
prenese,transfer
prenesel,downloaded
prenesem,I can bear it
prenesla,transferred
preneslo,transferred
prenizka,too low
prenizki,too low
prenosi,transmissions
prenovili,renovated
prenočitve,overnight stays
prenočišče,lodging
prenočiščih,accommodation
preoblačiš,you change clothes
preobleki,disguises
preoblekli,changed clothes
preoblikovanja,transformations
preoblikuje,transforms
preobrata,reversal
preobratu,upheaval
preobrazbo,transformation
preobrazil,transformed
preobremenitev,overload
preobremenjeni,overwhelmed
preobčutljivosti,hypersensitivity
preohlapne,too loose
preokupiran,preoccupied
preostala,the rest
prepad,the abyss
prepakiranj,repackaging
preparate,preparations
prepevajo,they sing
prepevali,sang
prepirajo,they argue
prepire,quarrels
prepiri,quarrels
prepisali,copied
preplah,alarm
preplava,overflow
preplačan,overpaid
preplet,interlacing
prepleteno,intertwined
prepletenost,entanglement
prepogostim,too often
prepogosto,too often
preporod,revival
prepoteni,sweaty
prepotrebnih,much needed
prepovedanega,prohibited
prepovedanih,prohibited
prepovedni,prohibited
prepovedo,prohibition
prepovedoval,prohibited
prepoveduje,forbids
prepovedujejo,they forbid
prepoznajo,they recognize
prepoznale,recognized
prepoznani,recognized
prepoznave,recognition
prepoznavnejših,more recognizable
prepoznavni,recognizable
prepoznavnih,recognizable
prepoznavnimi,recognizable
prepozne,too late
prepočasi,too slow
prepredena,cunning
prepreko,an obstacle
prepreèile,prevented
prepreèitev,prevention
prepreèujemo,we prevent
preprečenjem,prevention
preprečevala,prevented
preprečevanja,prevention
preprečevanjem,prevention
preprečevati,to prevent
preprečijo,prevent
preprečil,prevented
preprečile,prevented
preprečilo,prevented
preprečita,prevent
preprièati,to convince
preprièljivo,convincingly
prepriča,convince
prepričajo,convince
prepričale,convinced
prepričanja,beliefs
prepričanjem,beliefs
prepričanost,conviction
prepričljiv,persuasive
prepričljive,convincing
prepričljivi,convincing
prepričuje,convinces
prepričujejo,they convince
preprodaja,resale
preprodajalcem,resellers
preprodajalcev,resellers
preprodaje,resale
preprog,carpet
preproge,carpets
preprogo,carpet
preprostemu,simple
preprosti,the simple ones
prepusti,let go
prepustila,left
prepustili,left
prepuščeno,left over
prerazporedila,rearranged
prerazporeditve,redistributions
prerazporeditvijo,redistribution
prerazporejanjem,redeployment
prerekanju,arguing
prerivanja,jostling
prerokinjo,a prophetess
presaditvi,transplantation
presajanje,transplantation
presedlal,transferred
presegajo,exceed
presegala,exceeded
presegati,to exceed
presejanja,screening
preselilo,moved
preselim,I move
preseliti,to relocate
preseneti,surprise
presenetila,surprised
presenetljivem,surprising
preseneèenje,surprise
presenečajo,they surprise
presenečenj,surprises
presenečenja,surprises
preseva,screening
preseže,exceeds
presežke,excesses
presežki,excesses
presežnih,redundant
preskok,leap
preskokom,jump
preskoči,skip it
preskočili,skipped
preskrbljenost,preoccupation
preskušati,to try
preslaba,too bad
preslabo,too bad
preslikave,mappings
presnove,metabolism
presodijo,judgment
presodila,judged
presodilo,judgment
presojajo,they judge
presojali,judged
prespalo,overslept
prespati,sleep over
presreèna,overjoyed
presrečen,overjoyed
pressu,the press
prestaja,is undergoing
prestajal,endured
prestajanja,undergoing
prestajanje,enduring
prestal,passed
prestavi,shift gears
prestavil,moved
prestavila,shifted gears
prestavilo,gear shift
prestavimo,let's move it
prestavljeno,moved
prestavne,shiftable
prestižen,prestigious
prestižna,prestigious
prestižne,prestigious
prestolnic,of the capital
prestolonaslednik,heir to the throne
prestolonaslednikom,heir to the throne
prestolov,thrones
prestolovanje,enthronement
prestop,transfer
